# JOY OVERFLOW: Missing shots for drama.land

## PART 1: ACT 1 (Shots 1–30)

### ACT 1: THE GRASS (0:00 – 1:37)

#### SEQ 1: INTRO / COLD OPEN (0:00 – 0:19)
| # | Time | Type | Shot | Camera | Action / Performance |
|---|---|---|---|---|---|
| 1 | 0:00–0:05 | D | **Aerial dawn over Lagos**: the drone pushes slowly along Third Mainland Bridge over the lagoon mist, danfo buses crawling | DJI Inspire 3, 24mm, 120 m, slow push | Title card: *"Lagos. Before."* |
| 2 | 0:05–0:09 | D→B | The drone tilts down and descends under the bridge to find a figure asleep on flattened cardboard | Inspire 3, continuous descent | **W1**. His face hidden in his arm |
| 3 | 0:09–0:12 | B | ECU: a drip of water from the bridge falls onto his cheek. His eyes open. The first "overflow" | 100mm macro, 120 fps | Eyes open, tired, no hope |
| 4 | 0:12–0:15 | A | **Hard cut to black, then the SPOTLIGHT snaps on** in the warehouse. The artist in **W6** stands behind the mic stand, eyes closed | CR high wide, 18mm, slow boom down | He breathes in. First line starts |
| 5 | 0:15–0:19 | A | MCU, the dolly pushes in as he sings *"Joy overflow in my heart today / I go dance, I go shout, hallelujah"* | DL, 50mm, T1.8 | **Lip-sync.** Gentle smile, eyes open on "hallelujah" |

#### SEQ 2: VERSE 1, REJECTION MONTAGE (0:19 – 0:41)
| # | Time | Type | Shot | Camera | Action |
|---|---|---|---|---|---|
| 6 | 0:19–0:22 | B | **Balogun Market**: he stretches out an empty palm to passers-by. A woman pulls her child away. A man waves him off | HH, 35mm, shoulder, crowd blur | **W1**. Head down |
| 7 | 0:22–0:24 | A | Profile silhouette, backlit haze. *"See the blessings overflow, oh my Father"* | SC orbit, 35mm | Hand on the mic, head tilted up |
| 8 | 0:24–0:27 | B | **Marina office tower**: in **W2** he clutches his CV. The security guard blocks the glass doors, points away and shakes his head | Low angle, 24mm, towers loom like mountains | Sweat, a polite smile that fades |
| 9 | 0:27–0:29 | B | Inside, a receptionist drops his CV into the bin without reading it. His reflection is in the glass | Rack focus, 85mm | Silent pain |
| 10 | 0:29–0:32 | A | Wide from behind the artist: two white-uniformed camera ops track him on either side. Crane arm rises | CR, 21mm | *"Like a bridge You carried me through"*, arms slightly open |
| 11 | 0:32–0:36 | B | **Surulere studio (W3)**: he sings from his notebook. A producer and three musicians laugh. One takes his notebook and tosses it on the floor. The door shuts in his face | HH, 28mm, whip pans | Humiliation. He picks up the notebook |
| 12 | 0:36–0:39 | B | Rusted gate padlock ("chains"). He slides down against the gate to the ground | 50mm, 48 fps | Head in hands |
| 13 | 0:39–0:41 | A | CU: *"Jesus, You took hold of me"*. A single tear catches the spotlight | 85mm, dolly in slowly | Eyes glassy, voice steady. **Pivotal lip-sync** |

#### SEQ 3: PRE-CHORUS, THE RAIN (0:41 – 0:58)
| # | Time | Type | Shot | Camera | Action |
|---|---|---|---|---|---|
| 14 | 0:41–0:44 | B | **Night, Third Mainland Bridge, heavy rain.** He walks alone on the walkway under sodium light, soaked (W1) | D: Inspire 3 low tracking alongside the railing, 35mm | Rain in the light |
| 15 | 0:44–0:47 | A | MS: *"I will sing Your praise"*. He lifts the mic stand slightly off the floor | 35mm, locked off | Strength building |
| 16 | 0:47–0:50 | B | He stops mid-bridge and looks up into the rain. Arms slowly open | **CR** rises from his face up to a 20 m top shot: a tiny man on a vast bridge | Surrender. The turning point starts |
| 17 | 0:50–0:54 | A | *"I will lift Your name / Joy overflow, hallelujah"*. Top-down crane shot on the artist, spotlight circle as a perfect halo | CR top shot, 18mm | Head tilted up to the lens |
| 18 | 0:54–0:58 | A↔B | **Match cut:** his upturned face in the rain becomes his upturned face in the spotlight. Same framing and angle | 50mm, both worlds | Signature transition of the film |

#### SEQ 4: CHORUS 1, THE FIRST SPARK (0:58 – 1:22)
| # | Time | Type | Shot | Camera | Action |
|---|---|---|---|---|---|
| 19 | 0:58–1:01 | A | *"Hallelujah, hallelujah"*. Haze beams fire on. Wide. | Technocrane sweeping 180° around him | Big open-mouth "hallelujah", one hand raised |
